CompteurTemps	Temps	Cx0	Cy0	
566	5.085	-1.0817	-4.17641	
567	5.094	-1.0716	-4.17714	
568	5.103	-1.06851	-4.17838	
569	5.112	-1.06546	-4.1796	
570	5.121	-1.0624	-4.18081	
571	5.13	-1.0464	-4.22276	
572	5.139	-1.05383	-4.18492	
573	5.148	-1.05144	-4.18462	
574	5.157	-1.04844	-4.18554	
575	5.166	-1.04535	-4.18655	
576	5.175	-1.04253	-4.18397	
577	5.184	-1.03883	-4.18758	
578	5.193	-1.03574	-4.18872	
579	5.202	-1.03268	-4.18976	
580	5.211	-1.02963	-4.19075	
581	5.22	-1.03824	-4.19565	
582	5.229	-1.02391	-4.1927	
583	5.238	-1.02072	-4.19352	
584	5.247	-1.01765	-4.19436	
585	5.256	-1.01458	-4.19518	
586	5.265	-1.03048	-4.20195	
587	5.274	-1.00771	-4.19716	
588	5.283	-1.00464	-4.19769	
589	5.292	-1.00164	-4.19842	
590	5.301	-0.998618	-4.19912	
591	5.31	-1.03204	-4.19081	
592	5.319	-0.992752	-4.19845	
593	5.328	-0.989289	-4.1991	
594	5.337	-0.986197	-4.19967	
595	5.346	-0.983091	-4.20024	
596	5.355	-1.00266	-4.19887	
597	5.364	-0.975785	-4.2023	
598	5.373	-0.972257	-4.20293	
599	5.382	-0.969037	-4.20356	
600	5.391	-0.965886	-4.20415	
601	5.4	-0.98807	-4.20073	
602	5.409	-0.959793	-4.20383	
603	5.418	-0.956806	-4.20422	
604	5.427	-0.953888	-4.20454	
605	5.436	-0.950917	-4.20488	
606	5.445	-0.967335	-4.20605	
607	5.454	-0.944599	-4.20428	
608	5.463	-0.941082	-4.20477	
609	5.472	-0.937921	-4.2052	
610	5.481	-0.934802	-4.20556	
611	5.49	-0.94422	-4.20676	
612	5.499	-0.929201	-4.20604	
613	5.508	-0.925948	-4.20638	
614	5.517	-0.922888	-4.20665	
615	5.526	-0.919852	-4.20686	
616	5.535	-0.947082	-4.20494	
617	5.544	-0.91421	-4.20669	
618	5.553	-0.910687	-4.20695	
619	5.562	-0.907593	-4.20706	
620	5.571	-0.904554	-4.20712	
621	5.58	-0.93532	-4.19729	
622	5.589	-0.899388	-4.20616	
623	5.598	-0.895748	-4.20639	
624	5.607	-0.892672	-4.20642	
625	5.616	-0.889645	-4.2064	
626	5.625	-0.893926	-4.19664	
627	5.634	-0.884617	-4.20506	
628	5.643	-0.881398	-4.20511	
629	5.652	-0.878339	-4.20503	
630	5.661	-0.875315	-4.20493	
631	5.67	-0.886113	-4.19942	
632	5.679	-0.869893	-4.204	
633	5.688	-0.866644	-4.20388	
634	5.697	-0.863656	-4.20366	
635	5.706	-0.860697	-4.20341	
636	5.715	-0.878332	-4.2124	
637	5.724	-0.855019	-4.20261	
638	5.733	-0.851735	-4.2024	
639	5.742	-0.848741	-4.20214	
640	5.751	-0.84579	-4.20183	
641	5.76	-0.860589	-4.162	
642	5.769	-0.839585	-4.2002	
643	5.778	-0.83607	-4.20065	
644	5.787	-0.833096	-4.20032	
645	5.796	-0.830214	-4.19992	
646	5.805	-0.870356	-4.21249	
647	5.814	-0.82767	-4.19569	
648	5.823	-0.82405	-4.19507	
649	5.832	-0.820902	-4.19477	
650	5.841	-0.81782	-4.19437	
651	5.85	-0.841955	-4.19757	
652	5.859	-0.808032	-4.19588	
653	5.868	-0.804978	-4.19528	
654	5.877	-0.802334	-4.19464	
655	5.886	-0.799704	-4.194	
656	5.895	-0.829483	-4.17534	
657	5.904	-0.796008	-4.18957	
658	5.913	-0.792835	-4.1891	
659	5.922	-0.789988	-4.18857	
660	5.931	-0.787175	-4.188	
661	5.94	-0.841558	-4.17784	
662	5.949	-0.783032	-4.1849	
663	5.958	-0.77843	-4.18496	
664	5.967	-0.775175	-4.18468	
665	5.976	-0.772197	-4.18416	
666	5.985	-0.790632	-4.17993	
667	5.994	-0.76653	-4.18025	
668	6.003	-0.763424	-4.17978	
669	6.012	-0.760621	-4.17919	
670	6.021	-0.757895	-4.17853	
671	6.03	-0.798282	-4.1554	
672	6.039	-0.750815	-4.17422	
673	6.048	-0.747687	-4.1738	
674	6.057	-0.745197	-4.17294	
675	6.066	-0.742705	-4.172	
676	6.075	-0.760607	-4.15483	
677	6.084	-0.736829	-4.16934	
678	6.093	-0.733638	-4.16895	
679	6.102	-0.731058	-4.16803	
680	6.111	-0.728551	-4.167	
681	6.12	-0.719156	-4.14894	
682	6.129	-0.723557	-4.16243	
683	6.138	-0.720736	-4.16204	
684	6.147	-0.71802	-4.16117	
685	6.156	-0.715398	-4.16017	
686	6.165	-0.724366	-4.15005	
687	6.174	-0.710247	-4.15828	
688	6.183	-0.707514	-4.15731	
689	6.192	-0.705003	-4.1562	
690	6.201	-0.702514	-4.15506	
691	6.21	-0.723588	-4.14552	
692	6.219	-0.699065	-4.15061	
693	6.228	-0.696228	-4.14952	
694	6.237	-0.693701	-4.14835	
695	6.246	-0.691193	-4.14714	
696	6.255	-0.692802	-4.1394	
697	6.264	-0.686799	-4.14439	
698	6.273	-0.684224	-4.14294	
699	6.282	-0.68174	-4.14161	
700	6.291	-0.679279	-4.14028	
701	6.3	-0.694305	-4.14053	
702	6.309	-0.674545	-4.13787	
703	6.318	-0.671813	-4.13653	
704	6.327	-0.669367	-4.13521	
705	6.336	-0.666956	-4.13384	
706	6.345	-0.696178	-4.1447	
707	6.354	-0.66309	-4.13206	
708	6.363	-0.660195	-4.13045	
709	6.372	-0.65783	-4.12893	
710	6.381	-0.655477	-4.12741	
711	6.39	-0.663323	-4.11975	
712	6.399	-0.650508	-4.12461	
713	6.408	-0.648072	-4.12318	
714	6.417	-0.645739	-4.12165	
715	6.426	-0.643431	-4.12011	
716	6.435	-0.644623	-4.12175	
717	6.444	-0.639024	-4.11703	
718	6.453	-0.636642	-4.11529	
719	6.462	-0.634378	-4.11368	
720	6.471	-0.632118	-4.11207	
721	6.48	-0.630356	-4.08644	
